27097,253234.p
62452,350314.p
2767,2860.p
73862,19561.p
2336,349364.p
92700,26346.p
25347,16234.p
30744,213664.p
10648,9528.p
92601,5316.p
26139,32750.p
76456,24155.p
19582,259594.p
2258,98270.p
14022,16404.p
8025,426507.p
56082,19517.p
70723,84244.p
81961,29354.p
94559,147218.p
60017,257517.p
57981,134116.p
42521,162738.p
96027,179270.p
71013,183858.p
94461,110183.p
61163,383010.p
65014,325834.p
75340,40171.p
80125,15723.p
92949,5625.p
77079,12463.p
48303,115731.p
99825,39245.p
28684,103475.p
16169,160827.p
53476,310625.p
8835,33489.p
85471,135512.p
16325,6382.p
62852,10647.p
35528,60709.p
90284,23220.p
65594,214058.p
60111,30357.p
32625,38802.p
71754,16517.p
84710,343032.p
27912,4947.p
100055,339299.p
48219,35481.p
65063,248581.p
55730,41406.p
38551,31278.p
80908,136134.p
19055,37648.p
11662,102951.p
90344,279156.p
14526,38024.p
64010,195967.p
61356,31195.p
69985,163946.p
22894,46207.p
76795,28931.p
67732,25088.p
99251,165260.p
77950,24841.p
61202,45587.p
1601,8917.p
80949,1535.p
9757,23100.p
82061,200935.p
59049,17622.p
80126,6957.p
64006,305262.p
81680,34280.p
37352,20255.p
96667,57855.p
30391,35602.p
95205,12249.p
26803,5952.p
99282,64378.p
21310,17551.p
81071,8566.p
93369,434780.p
97152,147071.p
93757,22287.p
59241,31133.p
3510,6013.p
62289,399016.p
83463,434551.p
37512,70124.p
92638,204960.p
6813,83875.p
84481,178052.p
34966,108121.p
20494,41254.p
30020,270066.p
24540,27715.p
86246,117310.p
28468,10051.p
21550,392502.p
83073,32227.p
87546,308143.p
49410,124811.p
49373,391617.p
56201,154984.p
10727,154351.p
65970,37654.p
46422,64407.p
7859,343172.p
47710,138115.p
99048,349458.p
81666,4596.p
24879,38820.p
54138,367656.p
27910,34889.p
35914,208823.p
29144,272634.p
36918,7778.p
7941,15649.p
2423,167360.p
88453,18308.p
58103,362931.p
98933,406370.p
52980,420859.p
72928,325785.p
50551,4650.p
71996,149297.p
50876,300677.p
94103,57566.p
72414,236651.p
3480,26079.p
28851,227900.p
19038,143652.p
93302,5382.p
30701,67979.p
58430,42225.p
28715,32228.p
31510,293534.p
46691,20849.p
59750,377401.p
69563,3347.p
94033,9057.p
518,97707.p
95710,4239.p
24880,71504.p
96422,359150.p
94662,34493.p
81333,70799.p
854,33319.p
83041,389931.p
56052,30799.p
1247,55850.p
68329,212443.p
86025,425883.p
78057,148426.p
2535,122126.p
411,18838.p
81277,310165.p
28309,182733.p
97395,43114.p
27325,7170.p
66679,309899.p
21767,17991.p
60136,344429.p
66210,123530.p
92090,24925.p
71178,125157.p
44836,199263.p
7262,52465.p
57861,33697.p
92128,416779.p
64920,300788.p
70392,365796.p
96708,40173.p
14756,9285.p
24983,133183.p
77369,25565.p
56454,250614.p
9820,186233.p
63998,418176.p
20784,130934.p
39809,354987.p
64163,411624.p
78777,31738.p
56766,278512.p
31912,12661.p
616,13125.p
58650,281944.p
92643,39602.p
48576,20777.p
78419,43867.p
38109,37422.p
87003,42226.p
74254,90546.p
74101,4021.p
26188,5240.p
80259,130528.p
42411,404839.p
57289,122626.p
3141,302293.p
54512,101489.p
84,325967.p
2971,331130.p
76641,11613.p
57103,166453.p
55247,375305.p
39689,120199.p
67560,14936.p
84908,373220.p
89783,15163.p
97762,270115.p
57060,95579.p
52472,36334.p
11597,173440.p
65747,102143.p
10160,37091.p
19735,124295.p
93771,41013.p
60035,12748.p
17976,36571.p
65141,5052.p
78621,31559.p
33881,300685.p
31274,44579.p
36602,354112.p
16954,434994.p
93599,106181.p
41985,19155.p
74509,148259.p
47027,14834.p
61118,167762.p
44220,206999.p
37120,98236.p
6183,128603.p
70294,15720.p
91529,28781.p
31058,131253.p
61879,7831.p
38219,38572.p
92160,30433.p
12226,1966.p
1862,365664.p
56109,18259.p
81016,378933.p
99143,41872.p
80380,27165.p
60613,340801.p
19810,251667.p
51860,321058.p
71498,416668.p
3786,245303.p
94528,32867.p
46953,126867.p
64092,248776.p
95515,107436.p
90223,284645.p
59133,2792.p
93008,40243.p
40362,338994.p
46546,399865.p
56529,22786.p
74505,28507.p
92020,354077.p
37835,331454.p
49955,117339.p
18517,14715.p
65344,195677.p
94670,350745.p
42287,399782.p
48011,30111.p
49270,364329.p
20744,17936.p
37372,106767.p
83461,6377.p
18405,110718.p
97667,215821.p
11049,415.p
21540,292210.p
8381,405033.p
67228,27246.p
4908,328878.p
52314,46112.p
42636,119721.p
38376,473.p
98288,101848.p
41951,25552.p
49497,264295.p
67311,438949.p
57781,442267.p
88130,26109.p
58472,424278.p
84670,9325.p
30894,373105.p
78081,115104.p
7281,15753.p
15580,9960.p
88943,190197.p
52385,408936.p
92459,306150.p
69182,24248.p
14476,167058.p
88002,45469.p
85871,298948.p
39349,186681.p
41416,41813.p
33027,199295.p
3652,306502.p
5584,102702.p
45285,246835.p
9344,387243.p
28469,344262.p
6871,340712.p
51735,6710.p
61446,207629.p
20986,363306.p
58819,310706.p
36711,354067.p
66194,439675.p
18172,57676.p
55597,313447.p
46705,355381.p
73796,283678.p
5879,270313.p
20611,1026.p
69621,189386.p
48503,44694.p
43942,32402.p
98031,340608.p
43929,160704.p
1665,310857.p
22453,80543.p
32383,413188.p
43555,57495.p
99918,222551.p
58624,123475.p
11820,251725.p
46201,129815.p
16917,333998.p
85087,29134.p
65751,425341.p
22449,265776.p
96515,44474.p
35108,393950.p
40907,68471.p
29246,161324.p
23794,309180.p
57577,7661.p
49586,204785.p
47009,117351.p
98734,26454.p
24827,360340.p
41954,393890.p
91989,321711.p
44553,380880.p
85983,154440.p
94035,89964.p
20658,217933.p
67809,333198.p
37541,73023.p
6506,20632.p
35255,10156.p
34338,348531.p
28422,16268.p
31195,248884.p
89366,298265.p
44960,120855.p
76307,20612.p
43959,175203.p
17370,407222.p
74153,303448.p
70580,29244.p
20337,15921.p
20378,265069.p
72304,288605.p
27571,392861.p
23568,292136.p
86402,393327.p
97356,350605.p
23873,8016.p
6926,246014.p
61370,148668.p
81650,40170.p
65043,258856.p
50218,195547.p
6494,254412.p
7154,387808.p
35479,273883.p
35717,34317.p
21556,368261.p
3566,340292.p
13861,19910.p
2419,434988.p
6428,410402.p
70239,266817.p
18365,30614.p
4835,217551.p
86132,346346.p
98643,30710.p
48749,407003.p
61851,14932.p
69448,39493.p
30890,356749.p
57621,95350.p
91270,143573.p
75207,340151.p
90276,10919.p
50334,70783.p
7033,684.p
58274,41739.p
14770,32869.p
24467,390708.p
36270,38853.p
62959,65979.p
38149,20610.p
9962,42646.p
32587,359771.p
80703,368330.p
44457,149957.p
90475,269251.p
12232,143078.p
28639,354052.p
83980,402377.p
89463,751.p
77986,313216.p
19601,8891.p
31319,390201.p
88828,34840.p
66242,60573.p
62623,333273.p
7752,166904.p
69184,18457.p
16977,29310.p
56970,231984.p
71143,227166.p
95368,256127.p
19880,335328.p
85921,158519.p
33135,38206.p
74419,2865.p
34970,310160.p
50103,38662.p
